id,student_id,course,semester,grade,credits
g001,s001,CS101,2022-fall,A,3
g002,s001,MATH201,2022-fall,B+,4
g003,s001,CS201,2023-spring,A-,3
g004,s002,MATH101,2021-fall,A,4
g005,s002,MATH201,2022-spring,A-,4
g006,s002,MATH301,2022-fall,B,3
g007,s003,PHYS101,2023-spring,A,4
g008,s003,PHYS201,2023-fall,A-,4
g009,s004,CS101,2020-fall,A,3
g010,s004,CS201,2021-spring,A,3
g011,s004,CS301,2021-fall,A-,3
g012,s004,CS401,2022-spring,B+,3
g013,s005,MATH101,2022-fall,B+,4
g014,s005,MATH201,2023-spring,A,4
g015,s006,CHEM101,2023-fall,A-,4
g016,s007,CS101,2021-fall,A,3
g017,s007,CS201,2022-spring,A,3
g018,s007,CS301,2022-fall,A-,3
g019,s007,CS401,2023-spring,B+,3
g020,s008,PHYS101,2022-spring,B,4
